"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"
"SRP074808"	"mRNA-microRNA Analysis of Sarcoptes scabiei and Host Immune Interactions"	"In this study, the transctiptome and microRNA comprehensive analysis to resolve the interaction of Sarcoptes scabiei and host for the first time, with the differentially expressed transcripts and microRNAs in response to infection. We found a plenty of different expression unigenes and microRNAs in Sarcoptes scabiei and different expression genes and microRNAs inhost, also the immune signaling pathway. We found a series of allergen and hydrolase unigenes, which laid the foundation for further research."	"SRA"	"partial"		
"SRP075223"	"Oryctolagus cuniculus Transcriptome or Gene expression"	"To obtain the fur development related genes"	"SRA"	"total"		
"SRP077559"	"Canis lupus familiaris Raw sequence reads"	"In this project, we aim to improve the canine genomic resources by creating a more comprehensive genome annotation"	"SRA"	"total"		
"SRP079697"	"Rabbit Model of Fetal Tracheal Occlusion for Congenital Diaphragmatic Hernia"	"Analysis of embronic day 30.5 (E30.5) fetal rabbit left lung after creation of diapragmatic hernia (DH) at E25 and tracheal occlusion (TO) at E27. Overall design: The fetuses of timed pregnant New Zealand rabbits were subjected to creation of a left diaphragmatic hernia at E25 with or without tracheal occlusion at E27. At E30.5, the fetuses were sacrificed with collection of the lateral aspect of the left upper lobe for NextGen mRNA sequencing."	"SRA"	"partial"		
"SRP092591"	"Screening and validation of differentially expressed genes associated with wool length in rabbits"	"NA"	"SRA"	"total"		
"SRP093963"	"Oryctolagus cuniculus breed:Netherlands dwarf rabbit Transcriptome or Gene expression"	"The dwarf phenotype characterizes the smallest of rabbit breeds and is governed by the effects of a single dwarfing allele. Dwarfs typically weight under 1 kg and have altered craniofacial morphology. The dwarf allele is a recessive lethal and homozygous individuals for this allele die within a few days of birth. The dwarf phenotype is expressed in heterozygous individuals and rabbits from dwarf breeds homozygous for the wild-type allele are normal rabbits (although smaller when compared to other breeds). Here, we show that the dwarf phenotype is caused by a ~12.1 kb deletion overlapping the promoter region and the first three exons of the HMGA2 gene, leading to gene inactivation. HMGA2 has been frequently associated with body size and homozygosity for null alleles are viable in mice but not in rabbits. To gain insights on how HMGA2 inactivation affects growth, viability and transcriptional regulation of interacting genes, we carried out RNA-seq analysis of rabbit embryos."	"SRA"	"partial"		
"SRP114662"	"Dog Genomics Resources"	"Whole genome, RNA-Seq &amp; epigenetic sequence data from the dog Canis lupus familiaris"	"SRA"	"total"		
"ERP009696"	"Habitat-specific gene expression in stickleback immune tissues from four parametric lake-river population pairs"	"The three-spined stickleback (Gasterosteus aculeatus) has repeatedly colonized and adapted to diverse freshwater habitats since the last glaciation. Among those freshwater habitats, adjacent lake and river populations harbour distinct parasite communities, a recurring ecological difference proposed to drive adaptive differentiation between lake and river stickleback ecotypes. To study the rapid adaptation of sticklebacks to lake and river habitats, we analysed gene expression profiles of 77 whole-transcriptome libraries of two immune-relevant tissues, the head kidney and the spleen, obtained from wild-caught sticklebacks of the two habitat types across multiple geographic locations. Differential expression analyses identified 189 genes showing statistically significant habitat-specific expression patterns among the three European locations. Among those genes, 15 genes are annotated with putative immune functions, and 50 have been experimentally associated with immune-responses in sticklebacks, reinforcing the hypothesis that parasites contribute to adaptive evolution of lake and river sticklebacks. Comparing expression profiles of European sticklebacks to populations in similar habitats in North America, five genes exhibited habitat-specific expression across continents. "	"SRA"	"total"		
"SRP012923"	"Gasterosteus aculeatus RNA Sequencing"	"Gasterosteus aculeatus (Threespine stickleback) RNA sequencing from multiple tissues."	"SRA"	"total"		
"SRP002417"	"Genome-wide evolutionary analysis of eukaryotic DNA methylation"	"Eukaryotic cytosine methylation represses transposable elements, but also occurs in bodies of active genes. The extent to which these processes are conserved is unclear, and little is known about methylation outside of mammals, Arabidopsis thaliana, and Neurospora crassa. Utilizing deep bisulfite sequencing, we have quantified DNA methylation in five plant, seven animal, and five fungal genomes. We find that gene body methylation is conserved between plants and animals, whereas selective methylation of transposons has evolved independently in the vertebrate lineage. We show that methylation of plant transposons in the CHG context extends to green algae, and present evidence for RNA-directed DNA methylation of fungal genes. We also show that antagonism between DNA methylation and histone H2A.Z is conserved between plants and animals. Our data demonstrate that extant DNA methylation systems are mosaics of conserved and derived features, and indicate that gene body methylation is an ancient property of eukaryotic genomes. Keywords: Epigenetics Overall design: Examination of DNA methylation and transcription in plant, animal, and fungal genomes, and examination of how H2A.Z deposition relates to both methylation and transcription in puffer fish. Descriptions of the Samples' raw and processed data (provided as supplementary files) can be found in GSE19824_README.txt at the foot of this record."	"SRA"	"partial"	"GSE19824, partial because experiments about plants"	
"SRP115024"	"Felis catus testis transcriptome"	"Domestic and hybrid cat testis RNA"	"SRA"	"partial"		
"SRP063937"	"A Mutation in LTBP2 Causes Congenital Glaucoma in Domestic Cats (Felis catus)"	"The glaucomas are a group of diseases characterized by optic nerve damage that together represent a leading cause of blindness in the human population and in domestic animals. Here we report a mutation in LTBP2 that causes primary congenital glaucoma (PCG) in domestic cats. We identified a spontaneous form of PCG in cats and established a breeding colony segregating for PCG consistent with fully penetrant, autosomal recessive inheritance of the trait. Elevated intraocular pressure, globe enlargement and elongated ciliary processes were consistently observed in all affected cats by 8 weeks of age. Varying degrees of optic nerve damage resulted by 6 months of age. Although subtle lens zonular instability was a common feature in this cohort, pronounced ectopia lentis was identified in less than 10% of cats examined. Thus, glaucoma in this pedigree is attributed to histologically confirmed arrest in the early post-natal development of the aqueous humor outflow pathways in the anterior segment of the eyes of affected animals. Using a candidate gene approach, significant linage was established on cat chromosome B3 (LOD 18.38, q = 0.00) using tightly linked short tandem repeat (STR) loci to the candidate gene, LTBP2. A 4 base-pair insertion was identified in exon 8 of LTBP2 in affected individuals that generates a frame shift that completely alters the downstream open reading frame and eliminates functional domains. Thus, we describe the first spontaneous and highly penetrant non-rodent model of PCG, identifying a valuable animal model for primary glaucoma that closely resembles the human disease providing valuable insights into mechanisms underlying the disease and a valuable animal model for testing therapies. Overall design: Polyadenylated RNA from the iridiocorneal angles of one PCG-affected cat and one normal cat was sequenced to confirm expression of LTBP2."	"SRA"	"partial"	"GSE73263"	
"SRP071078"	"Felis catus Raw sequence reads"	"99 Lives Cat Genome Sequencing Initiative. This project proposes to sequence 99 cats to support health care for the normal household cat and fancy cat breeds too. In this experiment, RNA sequencing was performed across a variety of animals and tissues in order to improve gene annotation in the cat."	"SRA"	"partial"		
"SRP045443"	"Mesocricetus auratus Arenavirus-infected liver Transcriptome"	"Syrian golden hamsters (Mesocricetus auratus) experimentally infected with Pirital virus (PIRV) develop fatal hemorrhagic disease with many clinical similarities to South American hemorrhagic fevers and Lassa fever. We examined the livers of hamsters infected with PIRV by RNA-Seq and identified differentially-expressed transcripts. THe goal of this work is to develop a model for human arenavirus pathology."	"SRA"	"partial"		
"SRP086707"	"Transcriptional profiling of mouse and hamster oocytes"	"We profiled transcriptomes from mouse GV, MII oocytes and 1 cell embryos and Hamster oocytes. Overall design: Examination of gene expression in different stages of oogenesis and early development"	"SRA"	"total"	"GSE86470"	
"SRP094841"	"Transcriptional profiling by next generation sequencing of the spleen and splenic macrophages in the hamster model of visceral leishmaniasis"	"We used next generation sequencing to examine global changes in gene expression in the spleen and splenic macrophages in a hamster model of progressive visceral leishmaniasis. We used RNA sequencing coupled with de novo transcriptome assembly, because the Syrian hamster does not have a fully sequenced and annotated reference genome. Libraries for deep sequencing were constructed from poly-A RNA isolated from the spleens or splenic macrophages of uninfected and 28-day L. donovani-infected hamsters (n=4 per group) using standard Illumina protocols. The library quality was confirmed by Agilent Bioanalyzer. Paired-end 50-base sequencing was performed using TruSeq SBS kit v3 (Illumina) on an Illumina HiSeq 1000.The quality of raw sequencing reads was checked using FastQC (v0.10.1). To avoid the contamination of pathogen sequences, we filtered out reads (using the FASTX Toolkit v0.0.13) that aligned to the Leishmania donovani BPK282A1 genome (NCBI BioProject PRJEA61817) using Bowtie 2 (v2.0.0-beta5) under default options. To reduce the effect of low quality reads, we further filtered out artifacts and reads having a phred score <28 in more than 10% of nucleotides using FASTX Toolkit (v0.0.13). Both forward and reverse reads were removed if any of them failed to pass the filters. To obtain a complete transcriptome, we used two steps. First, the cleaned sequencing reads from different spleen samples were pooled together and de novo assembled using Trinity software. Second, the resulting transcriptome was combined with all cleaned reads from hamster spleen and splenic macrophages and the CHO-K1 RefSeq genome to perform a second de novo assembly using BRANCH. We first created a customized reference library using Rattus norvegicus (Rnor_5.0.73) and Mus musculus (GRCm38.73) genomes. We then used BLAST (v 2.2.28+) to align each transcript generated from BRANCH against the customized library to assign it a gene name based upon sequence similarity. An E-value cutoff of <1e-3 was used. Additionally, we compared the Trinity transcripts with the CHO-K1 Ref Seq genome. All the non-Leishmania-like raw sequencing reads were first mapped to our de novo reference genome using Bowtie2 (v2.1.0) with default options, but allowing one read to map to as many as 500 different transcripts. We then measured the expression abundance, count of reads mapped to each transcript, using the software eXpress. To identify differentially expressed transcripts in each experiment, 3 different approaches were applied: exact tests of Robinson and Smyth and generalized linear models with the likelihood ratio test using the BioConductor R package EdgeR, and the Wald test using DESeq2. Only transcripts with at least 1 count per million in at least 3 out of 4 samples in the control or experimental group were included in the analysis. A transcript was considered differentially expressed only when it was identified by all three different approaches. Analysis of differentially expressed transcripts identified a highly inflammatory spleen environment with abundant expression of type I and type II interferon response genes. However, high IFN-? expression was ineffective in directing exclusive M1 macrophage polarization, suppressing M2-associated gene expression, and restraining parasite replication and disease. While many IFN-inducible transcripts were upregulated in the infected spleen, fewer were induced in splenic macrophages in VL suggesting suppression of macrophage responsiveness to activating cytokines. The transcription factor STAT3 was predicted and confirmed to be activated, and found to orchestrate an exuberant counter-regulatory response that favors parasite replication. Overall design: Transcriptional profiles of 28-day Leishmania donovani infected Syrian outbred hamsters were generated by deep sequencing, in quadruplicate, using Illumina  Illumina HiSeq 1000"	"SRA"	"partial"	"GSE91187"	
"SRP026067"	"Evidence for the independent evolution of ""functional progesterone withdrawal"" in primates and guinea pigs: a comparative transcriptomic study"	"Cervix remodeling (CRM) is a critical process in preparation for parturition. Early cervix shortening is a powerful clinical predictor of preterm birth, and thus understanding how CRM is regulated is important for the prevention of prematurity. Humans and other primates differ from most other mammals by the maintenance of high levels of systemic progesterone concentrations and thus differ dramatically from most model species. Humans have been hypothesized to perform functional progesterone withdrawal (FPW), but the mechanisms of FPW are not known. Guinea pigs are similar to humans as they also maintain high progesterone concentrations through parturition. The aim of this study is to document gene expression during pregnancy in the guinea pig uterine cervix in order to assess whether guinea pig can be used as a model for human FPW Overall design: Total RNA obtained from isolated cervical tissues from non-pregnant and two genstation stages (mid-term, and late-term but not in labor)."	"SRA"	"total"	"GSE47986"	
"ERP005568"	"Variant in the RFWD3 Gene Associated with PATN1, a Modifier of Leopard Complex Spotting"	"Leopard Complex spotting (LP), the result of an incompletely dominant mutation in TRPM1, produces a collection of unique pigmentation patterns in the domestic horse. While the LP mutation allows for expression of the various patterns, other loci are responsible for modification of the extent of white. Pedigree analysis of families segregating for high levels of patterning (80-100% white hair coat) indicated a single dominant gene (PATN1) as a major effect modifier for LP. Linkage analysis identified a 16 Mbp region on ECA3p associated with PATN1. Whole transcriptome sequencing of skin samples from horses with and without the PATN1 allele was performed to identify genic SNPs for fine mapping. Two Sequenom assays were utilized to genotype 192 individuals from five LP-containing breeds. The initial panel highlighted a 1.6 Mbp region without a clear candidate gene. In the second round of fine-mapping, a SNP in the 3' UTR of RING finger and WD repeat domain 3 (RFWD3) reached a significance level of p=1.063x10-39. Sequencing of RFWD3 did not identify any coding polymorphisms specific to the PATN1 horses. Genotyping of an additional 52 LP animals increased this association to a p-value of 4.68x10-56. An additional 166 horses of breeds not segregating for LP did not contain the PATN1-associated allele. This variant is a strong candidate for PATN1 and may be used for genotyping lp/lp animals."	"SRA"	"total"		
"ERP006861"	"Equine RNAseq Tissue pool"	"This dataset is comprised of RNA samples from 11 horses of various ages and sex that comprise the following tissues: Adipose Tissue, Adrenal Cortex, Adrenal Medulla, Aorta, Articular Cartilage (foal),  Bladder, Bone, Bone Marrow, Cecum, Cerebrum, Cornea, Embryo (whole embryo, 34d), Endometrium (preg. day 16), Endometrium (preg. day 50), Epididymus, Hoof (germinal epithelium), Kidney, Large Intestine, Liver, Lung Lymph Node, Lymphocytes (activated), Muscle (cardiac), Muscle (skeletal, tongue), Muscle (skeletal), Muscle (smooth), Ovary, Pancreas, Pituitary (anterior), Pituitary (posterior), Placental Villous, Retina, Salivary Gland, Skin (full thickness), Spinal Cord, Spinal Root Ganglia, Spleen (red pulp), Spleen (white pulp), Stomach, Synovial Membrane, Tendon (superficial digital flexor, foal), Testes, Thymus, and Vena Cava. This study was carried out in strict accordance with the recommendations in the Guide for the Care and Use of Laboratory Animals of the National Institutes of Health. Tissue samples for total RNA isolation were collected under a protocol (00814A2004) reviewed and approved by the Office of Research Integrity, Institutional Animal Care and Use Committee, at the University of Kentucky (PHS Assurance Number: A3336-01). Two micrograms of mRNA from each tissue sample was used to generate the final RNA pool. The pooled sample was Illumina and 454 sequenced with the aim to improve equine gene structural annotation."	"SRA"	"partial"	"E-MTAB-2879, partial because experiments with 454 technology"	
"#SRP002269"	"Characterization of the equine skeletal muscle transcriptome identifies novel functional responses to exercise training"	"Digital gene expression profiling was used to characterize the assembly of genes expressed in equine skeletal muscle and to identify the subset of genes that were differentially expressed following a ten month period of exercise training. The study cohort comprised 7 thoroughbred racehorses from a single training yard. Skeletal muscle biopsies were collected at rest from the gluteus medius at two time points: T1 (unconditioned), (9 +/- 0.5 months old) and T2 (conditioned) (20 +/- 0.7 months old). The most highly abundant genes in the muscle transcriptome were those involved in muscle contraction, aerobic respiration and mitochondrial function. A previously unreported over-representation of genes relating to RNA processing, the stress response and proteolysis was observed. Following training 92 tags were differentially expressed of which 74 were annotated. Sixteen genes showed increased expression, including the mitochondrial genes, ACADVL, MRPS21 and SLC25A29. Among the 58 genes with deceased expression MSTN, a negative regulator of muscle growth had the greatest decrease. Functional analysis of all expressed genes using FatiScan revealed an asymmetric distribution of 482 Gene Ontology groups and 18 KEGG pathways. Functional groups with highly significantly (P < 0.0001) increased expression included mitochondrion, oxidative phosphorylation and fatty acid metabolism while functional groups with decreased expression were mainly associated with structural genes and included the sarcoplasm, laminin complex and cytoskeleton. Overall design: Examination of muscle expression changes in 7 thoroughbred horses following 10 months of exercise training using digital gene expression with NlaIII."	"SRA"	"total"	"GSE21269, discarded because not standard RNA-seq regarding our current pipeline, see issue #30"	
"SRP011379"	"Profiling of differential allelic expression in horse, donkey, mule, and hinny placental tissues."	"In eutherian mammals, dosage compensation of X-linked genes is achieved by X chromosome inactivation. X inactivation is random in embryonic and adult tissues, but imprinted X inactivation (paternal X silencing) has been identified in the extraembryonic membranes of the mouse, rat, and cow.  Few other species have been studied for this trait, and the data from studies of the human placenta have been discordant or inconclusive.  Here, we quantify X inactivation using RNA sequencing of placental tissue from reciprocal hybrids of horse and donkey (mule and hinny).  In placental tissue from the equid hybrids and the horse parent the allelic expression pattern was consistent with random X inactivation, and imprinted X inactivation can clearly be excluded. We characterized horse and donkey XIST gene, and demonstrated that XIST allelic expression in female hybrid placental and fetal tissues is negatively correlated with the other X-linked genes chromosome-wide, which is consistent with the XIST-mediated mechanism of X inactivation discovered previously in mice.  As the most structurally and morphologically diverse organ in mammals, the placenta also appears to show diverse mechanisms for dosage compensation that may result in differences in conceptus development across species. Overall design: Examine allelic expression from individual samples of invasive trophoblast tissue of the chorionic girdle from gestation day 33-34 conceptuses of 5 horses, 3 donkeys, 6 mules, and 1 hinny."	"SRA"	"partial"	"GSE36352, species not in Ensembl as well as hybrids (mules and hinnies)"	
"SRP012972"	"Whole transcriptome analyses of six thoroughbred horses before and after exercising using RNA-Seq"	"We sequenced the whole mRNA of six thoroughbred horse (Equus caballus) blood and muscle tissues before and after exercising, generating a total of 1.3 billion short reads with 90-bp pair-end sequences from 24 samples. Comparing with current genome annotation, we identified 32,361 unigene clusters spanning 51.83 Mb that contained 11,933 (36.87%) annotated genes. More than 60% (20,428) unigene clusters did not match any current equine gene model. We identified 189,973 single nucleotide variations (SNVs) from the aligned sequences against the horse reference. Most SNVs (171,558 SNVs; 90.31%) were novel compared with over 1.1 million equine SNPs from two databases. Some genes have significantly different expression levels under different environment. We define those identical genes which have different expression levels are *differentially expressed* and carried out differentially expressed gene analysis before and after exercise conditions. We discovered, 62 up- and 80 down-regulated genes in the blood and 878 up- and 285 down-regulated genes in the muscle from the 24 samples. Six out of 28 previously exercise-related known genes, HIF1A, ADRB2, PPARD, VEGF, TNC, and BDNF, were highly expressed in the muscle after exercise. We discovered 56 functionally unknown transcription factors that are probably associated with an early regulatory exercise mechanism from 91 differentially expressed transcription factors. We found interesting RNA expression patterns where different alternative splicing forms of the same gene showed reversed expressions before and after exercising. Overall design: whole mRNA sequencing profiles of six thoroughbred horse (Equus caballus) blood and muscle tissues before and after exercising"	"SRA"	"total"	"GSE37870"	
"SRP110851"	"Diet affects transcriptome differently in the skin of atopic and healthy Staffordshire bull terriers"	"In the present study, RNA-Seq was conducted to determine the differentially expressed genes in nonlesional skin from four dogs with naturally-occurring CAD compared to four healthy dogs. The dogs underwent a diet intervention, and were divided into two groups according to their diet (raw or dry food) to find out the effect of the diet on the gene expression in the skin."	"SRA"	"partial"		
"SRP101968"	"Temporal Dynamics of Neurogenomic Plasticity in Response to Social Interactions in Male Threespined Sticklebacks [RNA-Seq]"	"Animals exhibit dramatic immediate behavioral plasticity in response to social interactions, and brief social interactions can shape the future social landscape. However, the molecular mechanisms contributing to behavioral plasticity are unclear. Here, we show that the genome dynamically responds to social interactions with multiple waves of transcription associated with distinct molecular functions in the brain of male threespined sticklebacks, a species famous for its behavioral repertoire and evolution. Some biological functions (e.g., hormone activity) peaked soon after a brief territorial challenge and then declined, while others (e.g., immune response) peaked hours afterwards. We identify transcription factors that are predicted to coordinate waves of transcription associated with different components of behavioral plasticity. Next, using H3K27Ac as a marker of chromatin accessibility, we show that a brief territorial intrusion was sufficient to cause rapid and dramatic changes in the epigenome. Finally, we integrate the time course brain gene expression data with a transcriptional regulatory network, and link gene expression to changes in chromatin accessibility. This study reveals rapid and dramatic epigenomic plasticity in response to a brief, highly consequential social interaction. Overall design: Adult males were collected from Putah Creek, a freshwater population, in spring 2013 and maintained in the lab on a 16:8 (L:D) photoperiod and at 18° C in separate 9-liter tanks. Males were provided with nesting material including algae, sand and gravel and were visually isolated from neighbors. All males were in the *territorial* phase of the nesting cycle, i.e. defending a territory. Males were randomly assigned to either the experimental or control group. Males in the experimental group were presented with a smaller, unrelated male intruder confined to a flask. Males in the control groups were presented with an empty flask. At the same time as a confined intruder was introduced to an experimental male's tank, an empty flask was introduced into a paired control male's tank. After 5 min the flask was removed, and after a predetermined period (see below) males were quickly netted and sacrificed by decapitation within seconds following an IACUC approved protocol (#15077) of the University of Illinois at Urbana-Champaign. For RNA Sequencing diencephalon and telencephalon tissue samples were collected 30, 60 or 120 minutes after the flask was introduced, with n=10 males per time point (5 experimental and 5 control)."	"SRA"	"total"	"GSE96673, PRJNA379326"	
"SRP099849"	"Genomic dissection of conserved transcriptional regulation in intestinal epithelial cells [Stickleback]"	"Overall design: Examination of expression levels and chromatin accessibility in intestinal epithelaial cells in stickleback"	"SRA"	"partial"	"GSE94934, PRJNA374873"	
"SRP061933"	"Stickleback embryos use ABC transporters as a buffer against exposure to maternally derived cortisol"	"Purpose: Offspring from females that experience stressful conditions during reproduction often exhibit altered phenotypes and many of these effects are thought to arise due to increased exposure to maternal glucocorticoids. Here we used RNAseq to test whether the embryonic transcriptional response to increased levels of cortisol was similar to the transcriptional response to maternal stress in sticklebacks Methods: Eggs were treated by immersing eggs for 30 mins in water that contained 0, 5, or 10 ug/L, which represented baseline, predator induced, and super physiological levels of maternally derived cortisol. To isolated enough RNA for RNAseq, 10 embyros from each clutch/treatment were pooled prior to RNA extraction for a total of 18 pools (6 clutches x 3 treatments). Results: Analysis of genome-wide transcriptional profiles suggests that 17251 (genes which survived a cut-off of having cpm more than 1 in at least two samples; and had a significant likelihood ratio calculated in edgeR) genes out of the possible 22,456 genes in the stickleback genome were expressed in 72-hour embryos. However, we did not detect any differences in gene expression between embryos that were treated with cortisol compared to the control group. Overall design: mRNA profiles of egg clutches treated with 0, 5, or 10 ug/L are compared, which represented baseline, predator induced, and super physiological levels of maternally derived cortisol."	"SRA"	"total"	"GSE71649, PRJNA291741"	
"SRP043184"	"Transcriptome analysis of threespine sticklebacks acclimated in different salinities"	"RNA sequencing was used to measure global gene expression in wild caught threespine sticklebacks. Native freshwater and marine fish were acclimated in water of different salinities before the gene expression in kidney was measured. The comparative transcriptomic analysis allowed the identification of salt-responsive genes. Overall design: We acclimated native freshwater (FW) and saltwater (SW) threespine sticklebacks to fresh (salinity: 0 g/L), brackish (salinity: 11 g/L), and sea water (salinity: 33 g/L) for 30 days, and then measured the global gene expression in fish kidneys."	"SRA"	"total"	"GSE58447, PRJNA252659"	
"SRP040543"	"Maternal experience with predation risk influences genome-wide embryonic gene expression in threespined sticklebacks (Gasterosteus aculeatus)"	"Whole embryo mRNA profiles of 3dpf stickleback embryos of mothers exposed to simulated predation risk [E] and control mothers [C] were generated by barcoded, multiplexed high-throughput RNA-sequencing on Illumina Hiseq-2000."	"SRA"	"total"	"GSE56160, PRJNA242609"	
"SRP053406"	"Measuring Absolute RNA Copy Numbers at High Temporal Resolution Reveals Transcriptome Kinetics in Development"	"High Resolution Time series covering the first 66 hours of development of Xenopus tropicalis with PolyA+ and ribosomal depletion sequencing."	"SRA"	"total"	"GSE65785, PRJNA275011"	
"SRP101726"	"Genome Scale Analysis of miRNA and mRNA regulation during preterm labor [monocytes]"	"The goal of this study was to define relationships between peripheral blood miRNAs and mRNAs of women undergoing idiopathic preterm labor (PTL) and compare network level changes to control women that deliver at term.Using RNA Sequencing we have performed global miRNA and mRNA profiling in both monocytes and whole blood leukocytes of women who underwent PTL (N=15) matched to non-pathological controls (N=30) as a part of the Ontario Birth Study cohort. We have identified differentially expressed miRNAs, mRNAs and pathways associated with PTL. Intriguingly, we found perturbations in many cellular signaling pathways, particularly in interleukin signaling. We also predicted mRNA targets for specific miRNAs and used these predictions to build putative miRNA-mRNA networks. We identified 6 miRNAs significantly associated with PTL whose expression is negatively correlated with expression of 14 predicted mRNA targets that are also significantly associated with PTL. Overall design: miRNA and mRNA were quantified from whole blood and monocytes of women undergoing spontaneous preterm labor compared to nonlabor controls matched on gestational age"	"SRA"	"partial"	"GSE96077, PRJNA378775"	
"SRP101737"	"Genome Scale Analysis of miRNA and mRNA regulation during preterm labor [whole blood]"	"The goal of this study was to define relationships between peripheral blood miRNAs and mRNAs of women undergoing idiopathic preterm labor (PTL) and compare network level changes to control women that deliver at term.Using RNA Sequencing we have performed global miRNA and mRNA profiling in both monocytes and whole blood leukocytes of women who underwent PTL (N=15) matched to non-pathological controls (N=30) as a part of the Ontario Birth Study cohort. We have identified differentially expressed miRNAs, mRNAs and pathways associated with PTL. Intriguingly, we found perturbations in many cellular signaling pathways, particularly in interleukin signaling. We also predicted mRNA targets for specific miRNAs and used these predictions to build putative miRNA-mRNA networks. We identified 6 miRNAs significantly associated with PTL whose expression is negatively correlated with expression of 14 predicted mRNA targets that are also significantly associated with PTL. Overall design: miRNA and mRNA were quantified from whole blood and monocytes of women undergoing spontaneous preterm labor compared to nonlabor controls matched on gestational age"	"SRA"	"partial"	"GSE96083, PRJNA378794"	
"ERP003613"	"HPA RNA-seq normal tissues"	"RNA-seq was performed of tissue samples from 95 human individuals representing 27 different tissues in order to determine tissue-specificity of all protein-coding genes."	"SRA"	"total"	"E-MTAB-1733, PRJEB4337"	
"ERP006650"	"RNA-seq of coding RNA from tissue samples of 127 human individuals representing 32 different tissues."	"RNA-seq was performed of tissue samples from 127 human individuals representing 32 different tissues in order to study the human tissue transcriptome. This submission contains 32 samples and the remaining data is located at E-MTAB-1733."	"SRA"	"total"	"E-MTAB-2836, PRJEB6971"	
"ERP000447"	"Sanger_zebrafish_sequencing"	"Abstract: Paired-end sequence data has been generated using polyA selected RNA from a range of zebrafish tissues using the Illumina Genome Analyzer. Study description: Zebrafish total RNA was extracted from adult tissue, then polyA selected. After fragmentation and reverse transcription Illumina sequencing libraries were prepared. Paired-end sequence runs were performed with 76 base reads on the Illumina Genome Analyzer."	"SRA"	"total"	"E-MTAB-460, PRJEB2368"	
"#ERP000263"	"Zebrafish gene 3 prime end pull down for genome annotation"	"Abstract: As part of the zebrafish genome annotation project the 3 prime ends of genes were pulled down on polyT beads and sequenced on the Illumina Genome Analyzer to identify alternative 3 prime ends in a range of tissues and developmental stages. Study description: Total RNA from a range of developmental stages and adult tissues were chemically fragmented, pulled down on polyT magnetic beads and double stranded cDNA was synthesized. The cDNA was BpmI digested to release from the beads and to leave a 6 T base tail. Illumina sequencing libraries were made followed by 76 base paired-end sequencing. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"	"SRA"	"total"	"E-MTAB-308, GSE25023, discarded, see MRR comments, I don't think that ERP000263 can be annotated as a standard RNA-seq. It's 3' end only, so it could eventually be treated like scRNAseq or BRBseq of Bart Deplancke (if we integrate that)."	
"SRP092128"	"Phylogenetic analysis of intron retention in vertebrates"	"Our study is detailing new evidence for transcriptomic complexity realized by a mechanism of orchestrated intron retention."	"SRA"	"total"		
"SRP021940"	"Equus caballus strain:Thoroughbred Transcriptome or Gene expression"	"Previously unannotated equine mRNA transcripts."	"SRA"	"partial"	"GSE21925"	
"SRP022567"	"Analysis of Unannotated Equine Transcripts Identified by mRNA Sequencing"	"Sequencing of equine mRNA (RNA-seq) identified 428 putative transcripts which do not map to any previously annotated or predicted horse genes.  Most of these encode the equine homologs of known protein-coding genes described in other species, yet the potential exists to identify novel and perhaps equine-specific gene structures.  A set of 36 transcripts were prioritized for further study by filtering for levels of expression (depth of RNA-seq read coverage), distance from annotated features in the equine genome, the number of putative exons, and patterns of gene expression between tissues.  From these, four were selected for further investigation based on predicted open reading frames of greater than or equal to 50 amino acids and lack of detectable homology to known genes across species.  Sanger sequencing of RT-PCR amplicons from additional equine samples confirmed expression and structural annotation of each transcript.  Functional predictions were made by conserved domain searches.  A single transcript, expressed in the cerebellum, contains a putative kruppel-associated box (KRAB) domain, suggesting a potential function associated with zinc finger proteins and transcriptional regulation.  Overall levels of conserved synteny and sequence conservation across a 1MB region surrounding each transcript were approximately 73% compared to the human, canine, and bovine genomes; however, the four loci display some areas of low conservation and sequence inversion in regions that immediately flank these previously unannotated equine transcripts.  Taken together, the evidence suggests that these four transcripts are likely to be equine-specific. Overall design: Examination of 8 equine RNA samples representing 6 distinct tissues"	"SRA"	"partial"	"GSE46858"	
"SRP031504"	"RNA-seq transcriptome profiling of equine inner cell mass and trophectoderm"	"Transcriptomic analysis of ICM and TE from in vivo-derived equine blastocysts using Illumina sequencing technology Overall design: RNA was extracted from individual equine blastocyst ICM and TE (Arcturus Picopure), cDNA was synthesized and amplified (Nugen Ovation V2) and indexed libraries were created for sequencing (TruSeq DNA V1)"	"SRA"	"total"	"GSE51431"	
